País,Ano,Quantidade (Kg),Valor (US$),Década,Ano_Quantidade,Continente
Argentina,1977,12.920002365272648,12.888199322806653,1970,25542.844676144025,América do Sul
Argentina,1978,13.327970052668318,13.472758242865899,1970,26362.724764177932,América do Sul
Argentina,1979,13.380069115460145,13.69778727052293,1970,26479.156779495628,América do Sul
Argentina,1980,12.60643140507002,13.080426177940803,1980,24960.734182038643,América do Sul
Argentina,1981,11.788577971456903,12.250921720466344,1980,23353.172961456123,América do Sul
Argentina,1982,12.165110016121297,12.485551160631266,1980,24111.24805195241,América do Sul
Argentina,1983,11.795356273639308,12.147521497580286,1980,23390.19149062675,América do Sul
Argentina,1984,10.655823029773595,11.076031607358404,1980,21141.15289107081,América do Sul
Argentina,1985,11.648949997137963,12.010209818169551,1980,23123.165744318856,América do Sul
Argentina,1986,12.045986049626848,12.399494861395032,1980,23923.32829455892,América do Sul
Argentina,1987,11.50140940900898,11.826582254594205,1980,22853.300495700845,América do Sul
Argentina,1988,12.935869930365383,13.28916342980403,1980,25716.50942156638,América do Sul
Argentina,1989,13.48152343089881,13.958385909516851,1980,26814.75010405773,América do Sul
Argentina,1990,13.029754545671665,13.488947661257102,1990,25929.211545886614,América do Sul
Argentina,1991,13.655860450634695,14.216733346814307,1990,27188.81815721368,América do Sul
Argentina,1992,13.005598073683064,13.611763914398296,1990,25907.151362776665,América do Sul
Argentina,1993,12.7925890595607,13.586184182323052,1990,25495.629995704476,América do Sul
Argentina,1994,13.008782500299647,13.500925832581048,1990,25939.512305597495,América do Sul
Argentina,1995,14.150485245246585,14.504691884912306,1990,28230.218064266937,América do Sul
Argentina,1996,13.565777878059574,14.17881736242205,1990,27077.29264460691,América do Sul
Argentina,1997,13.828729797534526,14.552464075461428,1990,27615.97340567645,América do Sul
Argentina,1998,14.074168732587633,14.938417331199823,1990,28120.18912771009,América do Sul
Argentina,1999,14.722066459763301,15.480358957504059,1990,29429.410853066838,América do Sul
Armênia,2022,7.777373602657861,9.522885774152654,2020,15725.849424574195,Ásia
Armênia,2023,8.172729104865471,10.099753105042092,2020,16533.43097914285,Ásia
Austrália,2000,11.776043291592273,13.010074471339482,2000,23552.086583184548,Oceania
Austrália,2001,12.096877007404661,13.364118258466195,2000,24205.850891816728,Oceania
Austrália,2002,11.91114438273942,13.009629075416557,2000,23846.11105424432,Oceania
Austrália,2003,11.747538983983638,12.749318023652267,2000,23530.320584919227,Oceania
Austrália,2004,12.168059203331957,13.237996548200893,2000,24384.79064347724,Oceania
